"pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG"
"","","",""," ",1,1,0,0,0,0,0
"D","Alzner","Karl","27 KARL ALZNER","Karl Alzner",2,2,0,0,0,82,0
"C","Backstrom","Nicklas","19 NICKLAS BACKSTROM","Nicklas Backstrom",3,3,82,0,0,0,0
"D","Beaulieu","Nathan","28 NATHAN BEAULIEU","Nathan Beaulieu",4,4,0,0,0,3,0
"R","Bourque","Rene","17 RENE BOURQUE","Rene Bourque",5,5,0,0,1,0,0
"R","Brouwer","Troy","20 TROY BROUWER","Troy Brouwer",6,6,0,0,82,0,0
"C","Brown","Chris","67 CHRIS BROWN","Chris Brown",7,7,5,0,0,0,0
"L","Burakovsky","Andre","65 ANDRE BURAKOVSKY","Andre Burakovsky",8,8,0,53,0,0,0
"D","Carlson","John","74 JOHN CARLSON","John Carlson",9,9,0,0,0,82,0
"L","Chimera","Jason","25 JASON CHIMERA","Jason Chimera",10,10,0,77,0,0,0
"C","Desharnais","David","51 DAVID DESHARNAIS","David Desharnais",11,11,3,0,0,0,0
"C","Eller","Lars","81 LARS ELLER","Lars Eller",12,12,3,0,0,0,0
"D","Emelin","Alexei","74 ALEXEI EMELIN","Alexei Emelin",13,13,0,0,0,3,0
"R","Fehr","Eric","16 ERIC FEHR","Eric Fehr",14,14,29,0,46,0,0
"C","Galchenyuk","Alex","27 ALEX GALCHENYUK","Alex Galchenyuk",15,15,3,0,0,0,0
"R","Gallagher","Brendan","11 BRENDAN GALLAGHER","Brendan Gallagher",16,16,0,0,3,0,0
"D","Gilbert","Tom","77 TOM GILBERT","Tom Gilbert",17,17,0,0,0,3,0
"D","Hillen","Jack","38 JACK HILLEN","Jack Hillen",18,18,0,0,0,35,0
"G","Holtby","Braden","70 BRADEN HOLTBY","Braden Holtby",19,19,0,0,0,0,82
"C","Johansson","Marcus","90 MARCUS JOHANSSON","Marcus Johansson",20,20,15,67,0,0,0
"C","Kuznetsov","Evgeny","92 EVGENY KUZNETSOV","Evgeny Kuznetsov",21,21,80,0,0,0,0
"C","Laich","Brooks","21 BROOKS LAICH","Brooks Laich",22,22,66,0,0,0,0
"C","Malhotra","Manny","20 MANNY MALHOTRA","Manny Malhotra",23,23,2,0,0,0,0
"D","Markov","Andrei","79 ANDREI MARKOV","Andrei Markov",24,24,0,0,0,3,0
"L","Moen","Travis","32 TRAVIS MOEN","Travis Moen",25,25,0,1,0,0,0
"D","Niskanen","Matt","2 MATT NISKANEN","Matt Niskanen",26,26,0,0,0,82,0
"C","O'brien","Liam","87 LIAM O'BRIEN","Liam O'brien",27,27,13,0,0,0,0
"D","Orpik","Brooks","44 BROOKS ORPIK","Brooks Orpik",28,28,0,0,0,78,0
"L","Ovechkin","Alex","8 ALEX OVECHKIN","Alex Ovechkin",29,29,0,81,0,0,0
"L","Pacioretty","Max","67 MAX PACIORETTY","Max Pacioretty",30,30,0,3,0,0,0
"R","Parenteau","Pierre-Alexandre","15 PIERRE-ALEXANDRE PARENTEAU","Pierre-Alexandre Parenteau",31,31,0,0,2,0,0
"G","Peters","Justin","35 JUSTIN PETERS","Justin Peters",32,32,0,0,0,0,78
"C","Plekanec","Tomas","14 TOMAS PLEKANEC","Tomas Plekanec",33,33,3,0,0,0,0
"G","Price","Carey","31 CAREY PRICE","Carey Price",34,34,0,0,0,0,3
"L","Prust","Brandon","8 BRANDON PRUST","Brandon Prust",35,35,0,3,0,0,0
"D","Schmidt","Nate","88 NATE SCHMIDT","Nate Schmidt",36,36,0,0,0,39,0
"L","Sekac","Jiri","26 JIRI SEKAC","Jiri Sekac",37,37,0,2,0,0,0
"D","Subban","P.k.","76 P.K. SUBBAN","P.k. Subban",38,38,0,0,0,3,0
"G","Tokarski","Dustin","35 DUSTIN TOKARSKI","Dustin Tokarski",39,39,0,0,0,0,3
"R","Ward","Joel","42 JOEL WARD","Joel Ward",40,40,0,0,82,0,0
"D","Weaver","Mike","43 MIKE WEAVER","Mike Weaver",41,41,0,0,0,1,0
"C","Bergeron","Patrice","37 PATRICE BERGERON","Patrice Bergeron",42,42,3,0,0,0,0
"D","Chara","Zdeno","33 ZDENO CHARA","Zdeno Chara",43,43,0,0,0,3,0
"L","Cunningham","Craig","61 CRAIG CUNNINGHAM","Craig Cunningham",44,44,0,1,0,0,0
"L","Eriksson","Loui","21 LOUI ERIKSSON","Loui Eriksson",45,45,0,3,0,0,0
"R","Fraser","Matt","25 MATT FRASER","Matt Fraser",46,46,0,0,1,0,0
"D","Green","Mike","52 MIKE GREEN","Mike Green",47,47,0,0,0,72,0
"D","Hamilton","Dougie","27 DOUGIE HAMILTON","Dougie Hamilton",48,48,0,0,0,2,0
"C","Kelly","Chris","23 CHRIS KELLY","Chris Kelly",49,49,3,0,0,0,0
"D","Krug","Torey","47 TOREY KRUG","Torey Krug",50,50,0,0,0,3,0
"C","Latta","Michael","46 MICHAEL LATTA","Michael Latta",51,51,53,0,0,0,0
"L","Lucic","Milan","17 MILAN LUCIC","Milan Lucic",52,52,0,3,0,0,0
"C","Marchand","Brad","63 BRAD MARCHAND","Brad Marchand",53,53,3,0,0,0,0
"D","McQuaid","Adam","54 ADAM MCQUAID","Adam McQuaid",54,54,0,0,0,3,0
"D","Miller","Kevan","86 KEVAN MILLER","Kevan Miller",55,55,0,0,0,1,0
"L","Paille","Daniel","20 DANIEL PAILLE","Daniel Paille",56,56,0,2,0,0,0
"G","Rask","Tuukka","40 TUUKKA RASK","Tuukka Rask",57,57,0,0,0,0,3
"C","Robins","Bobby","64 BOBBY ROBINS","Bobby Robins",58,58,1,0,0,0,0
"D","Seidenberg","Dennis","44 DENNIS SEIDENBERG","Dennis Seidenberg",59,59,0,0,0,3,0
"R","Smith","Reilly","18 REILLY SMITH","Reilly Smith",60,60,0,0,3,0,0
"C","Soderberg","Carl","34 CARL SODERBERG","Carl Soderberg",61,61,3,0,0,0,0
"C","Spooner","Ryan","51 RYAN SPOONER","Ryan Spooner",62,62,3,0,0,0,0
"G","Svedberg","Niklas","72 NIKLAS SVEDBERG","Niklas Svedberg",63,63,0,0,0,0,3
"D","Braun","Justin","61 JUSTIN BRAUN","Justin Braun",64,64,0,0,0,1,0
"R","Burish","Adam","37 ADAM BURISH","Adam Burish",65,65,0,0,1,0,0
"D","Burns","Brent","88 BRENT BURNS","Brent Burns",66,66,0,0,0,2,0
"C","Couture","Logan","39 LOGAN COUTURE","Logan Couture",67,67,2,0,0,0,0
"D","Demers","Jason","5 JASON DEMERS","Jason Demers",68,68,0,0,0,1,0
